id,date,time,created,species_name,scientific_name,family,species type,species group,number,sex,life stage,activity,method,counting method,related species,source,location,lat,lng,modified,country division,country,validator name,last validation date,local x,local y,accuracy,notes,validation status,substrate,is certain,is escape,obscurity,embargo date,external reference,has photos,has sounds,link;
43536654,2009-06-19,,2009-06-23,Bruine huismot,Hofmannophila pseudospretella,Oecophoridae (sikkelmotten),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718526,4.260185,2009-09-17,Vlaams-Brabant,België,,,142333,156447,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/43536654/;
43652196,2009-07-01,,2009-07-01,Oranje iepentakvlinder,Angerona prunaria,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,F,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718471,4.26012,2009-11-02,Vlaams-Brabant,België,Wim Veraghtert,2009-07-01,142329,156441,999,,J,,True,False,0,,,True,False,https://waarnemingen.be/observation/43652196/;
44214377,2009-08-13,,2009-08-13,Oranje wortelboorder,Triodia sylvina,Hepialidae (wortelboorders),Soort,Nachtvlinders en micro's,1,M,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718594,4.260185,2009-09-17,Vlaams-Brabant,België,,,142333,156455,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/44214377/;
44439034,2009-08-30,,2009-08-30,Rood weeskind,Catocala nupta,Erebidae (spinneruilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718526,4.260185,2009-09-17,Vlaams-Brabant,België,,,142333,156447,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/44439034/;
48707742,2010-06-26,,2010-06-26,Haarbos,Ochropleura plecta,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707742/;
48707746,2010-06-26,,2010-06-26,Aangebrande spanner,Ligdia adustata,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,onbekend,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2021-11-30,Vlaams-Brabant,België,Wim Veraghtert,,142331,156444,999,,A,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707746/;
48707759,2010-06-26,,2010-06-26,Dubbelstipvoorjaarsuil,Perigrapha munda,Noctuidae (uilen),Synoniem,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707759/;
48707762,2010-06-26,,2010-06-26,Witte tijger,Spilosoma lubricipeda,Erebidae (spinneruilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707762/;
48707769,2010-06-26,,2010-06-26,Huismoeder,Noctua pronuba,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707769/;
48707773,2010-06-26,,2010-06-26,Lindepijlstaart,Mimas tiliae,Sphingidae (pijlstaarten),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707773/;
48707781,2010-06-26,,2010-06-26,Oranje iepentakvlinder,Angerona prunaria,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707781/;
48707784,2010-06-26,,2010-06-26,Slakrups,Apoda limacodes,Limacodidae (slakrupsen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707784/;
48707786,2010-06-26,,2010-06-26,Varenspanner,Petrophora chlorosata,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707786/;
48707794,2010-06-26,,2010-06-26,Grijze stipspanner,Idaea aversata,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707794/;
48707799,2010-06-26,,2010-06-26,Grote spikkelspanner,Hypomecis roboraria,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707799/;
48707803,2010-06-26,,2010-06-26,Donker halmuiltje,Oligia latruncula,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707803/;
